id,fr,en
INTRO_TEXT_00,Le Domaine des Rêves...,The Domain of Dreams...
INTRO_TEXT_01,"Aucune porte pour y entrer, aucune clé pour y|accéder.","No door to go through, no key to unlock it."
INTRO_TEXT_02,"Il suffit juste de se laisser tomber dans un profond|sommeil...","All that's required is to fall to|a deep slumber..."
INTRO_TEXT_03,"Un endroit paisible où dorment les mondes|oubliés, coupés ainsi des autres royaumes.","A peaceful place in which forgotten worlds sleep,|disconnected from other kingdoms."
INTRO_TEXT_04,"Ici, ils sont en harmonie, là où règne un équilibre|parfait entre lumière et ténèbres.","Here, they are in perfect harmony, wherein|reigns a perfect balance between light and darkness."
INTRO_TEXT_05,"Car contrairement au delà d'où nous venons, les|gardiens des cauchemars et des esprits sont égaux.","Because unlike where we come from, the guardians|of nightmares and spirits are the same."
INTRO_TEXT_06,Une triste chose que cet équilibre ait été rompu.,How sad is it that this balance has been dismantled.
INTRO_TEXT_07,"En ce domaine, désormais, je ne vois que|les ténèbres !","Henceforth, I can only perceive darkness in this domain !"
INTRO_TEXT_08,"Ainsi qu'un pauvre garçon perdu, plié par la faiblesse et|le remords d'avoir déverrouillé la mauvaise serrure...","Including a poor lost boy, folded by weakness|and the regret of having opened the wrong keyhole..."
YUUGURE_INTRO_TEXT_00,"Combien de temps vas-tu encore résister, Kiryoku ?","For how long will you still resist, Kiryoku ?"
YUUGURE_INTRO_TEXT_01,"Ton coeur fut brisé lorsque tu as sauvé ton ami, Kioku.","Your heart shattered when you saved your friend, Kioku."
YUUGURE_INTRO_TEXT_02,"Ainsi, tu ne peux rivaliser face à mes ténèbres !","Thus, you can't stand against my shadows !"
YUUGURE_INTRO_TEXT_03,"Laisse-toi submerger par les ombres ! Laisse cette|dernière étincelle de lumière s'éteindre !","Let yourself be submerged by the darkness !|Let this last spark of light tail off !"
YUUGURE_INTRO_TEXT_04,"Fais-toi au fait que je suis le nouveau propriétaire de ton|corps !!","Realize the fact that I am the new owner of your|body !!"
KIRYOKU_INTRO_TEXT_00,"Il n'en est pas question ! Tu resteras coincé|avec moi dans ce rêve !","That's out of the question ! You'll be stuck| with me in this dream !"
KIRYOKU_INTRO_TEXT_01,"Même si mon coeur est perdu, tant que mon esprit|subsistera...","Even if my heart is gone, as long as my spirit remains..."
KIRYOKU_INTRO_TEXT_02,"Jamais tu n'auras l'occasion de revenir dans le|monde réel !","You'll never have the chance to return to the real world !"
KIRYOKU_INTRO_TEXT_03,"Mon corps m'appartient et tu n'auras|aucun moyen de le reprendre !","My body belongs to me, and in no way|will I let you take it !"
YUUGURE_INTRO_TEXT_05,Et pourtant tu te trompes...,"Alas, you're mistaken..."
YUUGURE_INTRO_TEXT_06,"Ce corps que tu revendiques tant... Il ne t'a plus|appartenu dès le moment où tu as succombé aux ténèbres !","This body you cherish so much... Was lost to you|as soon as you succumbed to darkness !"
INTRO_BIG,N'ABANDONNE PAS !,DON'T GIVE UP
KIRYOKU_INTRO_TEXT_04,Je....Je ne peux pas m'arrêter maintenant !,I...I can't stop now !
KIRYOKU_INTRO_TEXT_05,Je ne m'arrêterais pas tant que j'aurais des amis à protéger...,I won't stop as long as I have friends to protect...
KIRYOKU_INTRO_TEXT_06,Et tant que l'ordre des mondes sera menacé !,And as long as the worlds' order is threatened !
KIRYOKU_INTRO_TEXT_07,As-tu compris !?,Do you understand !?
KIRYOKU_INTRO_TEXT_08,Il m'est impossible d'abandonner maintenant !,It's impossible for me to back down now !
KIRYOKU_INTRO_TEXT_09,Je pense que tu seras d'accord avec moi|si je te dis...,I believe you'll agree when I say...
KIRYOKU_INTRO_TEXT_10,...Que nous devons en finir !!,...That we'll have to end this !!
YUUGURE_INTRO_TEXT_07,Que...Quoi...Comment est-ce possible !?,Wh...What....How is this possible !?
YUUGURE_INTRO_TEXT_08,Un être démuni de coeur ne peut|pourtant invoquer la Keyblade !,A being deprived of its heart cannot summon the Keyblade !
KIRYOKU_INTRO_TEXT_11,Mon coeur n'est peut-être plus présent...,My heart may not be with me anymore...
KIRYOKU_INTRO_TEXT_12,Mais je sens que sa lumière brille encore|de mille feux !,But I can feel that its light still burns|a thousand fires !
KIRYOKU_INTRO_TEXT_13,"Je ne sais pas où ces actes me vont|emmener, mais je suis sûr d'une chose...","I don't know where these acts will take me|but I'm sure of one thing..."
KIRYOKU_INTRO_TEXT_14,"Tant que j'aurais la force de me relever,|cette force t'entravera par toute sa détermination !","As long as I have the strength to get up|again, the sheer determination of that strength will prevail !"
KIRYOKU_INTRO_TEXT_15,"Cette arme fatale, cette X-Blade...","This deadly weapon, this X-Blade..."
KIRYOKU_INTRO_TEXT_16,"Tant que je serais debout, elle restera|en dehors de ta portée, père !","As long as I'm standing, this weapon will stay|far away from your grasp, father !"
YUUGURE_INTRO_TEXT_09,Même si tu arrivais a me vaincre|avec ta simple Keyblade...,Even if you'd succeed to defeat me with your|simple Keyblade...
YUUGURE_INTRO_TEXT_10,"Tant que tu resteras endormi, coincé dans|ton rêve, mon retour ne pourra être empêché !","For as long as you remain asleep,|stuck in your dream, my return cannot be prevented !"
YUUGURE_INTRO_TEXT_11,Abandonne d'ores et déjà ! Que penses-tu être capable de prouver ?,Just give it up ! Just what do you think you're able to achieve ?
YUUGURE_INTRO_TEXT_12,Tu sais très bien l'issue qu'aura un combat contre moi...,You know very well the end result of a fight against me...
KIRYOKU_INTRO_TEXT_17,Je la connais en effet...,I know it indeed...
KIRYOKU_INTRO_TEXT_18,"Mais je pensais que tu me connaissais mieux,|pourtant en tant que mon père, tu devrais savoir...","Yet, here I thought you'd know me better.|As my father, you should know that..."
KIRYOKU_INTRO_TEXT_19,...QUE JE SUIS LOIN D'ETRE RAISONNABLE !!,...I AM FAR FROM BEING REASONABLE !
INTRO_INFO_YUUGURE,Battez Yuugure !,Defeat Yuugure !
